P1_lam,P1_ram,P2_lam,P2_ram,P3_lam,P3_ram,P4_lam,P4_ram,P5_lam,P5_ram,P6_lam,P6_ram,P7_lam,P7_ram
153994,161110,145872,146641,142246,144951,141907,124371,118013,149139,152209,144940,151002,137901
153996,161108,145906,145535,142186,144879,141871,123249,117789,148858,152201,144906,151035,136661
153996,161111,145951,144427,142173,144773,141862,122093,117700,148512,152201,144875,151035,135354
153981,161104,146036,143400,142125,144652,141858,120895,117680,148048,152199,144966,151027,134020
153971,161103,146097,142210,142047,144580,141825,119666,117872,147696,152183,144960,151061,132625
153971,161096,146141,141018,142007,144479,141853,118380,118152,147385,152184,144977,151058,131133
153961,161100,146217,139758,141902,144329,141855,117046,118585,147123,152166,144982,151049,129606
153967,161101,146271,138289,141839,144281,141850,115639,118878,146899,152155,144944,151068,128021
153968,161099,146326,137140,141774,144181,141871,114173,119518,146617,152138,144911,151061,126342
153982,161099,146419,135689,141660,144086,141876,112688,120320,146348,152143,144759,151049,124615
153992,161076,146513,134144,141599,144068,141861,111165,121301,146171,152170,144913,151040,122830
154010,161078,146599,132631,141505,144021,141866,109641,122357,145860,152175,144729,150965,121061
154021,161077,146662,131092,141427,144030,141848,108158,123604,145590,152180,144864,150942,119189
154025,161073,146723,129521,141319,144026,141832,106636,124947,145310,152171,144732,150928,117361
154043,161067,146772,127922,141243,144089,141820,105107,126395,145000,152154,144698,150883,115413
154043,161069,146845,126341,141198,144122,141851,103583,127883,144658,152154,144639,150845,113462
154049,161045,146934,124758,141126,144275,141838,102047,129577,144320,152168,144665,150836,111463
154039,161050,146941,123132,141093,144331,141819,100569,131355,143999,152176,144664,150813,109430
154035,161060,146938,121493,141043,144496,141809,99121,133221,143698,152171,144649,150823,107392
154024,161062,146913,119878,141011,144632,141816,97610,135198,143214,152171,144892,150848,105306
154012,161074,146880,118249,140991,144747,141842,96081,137333,142976,152170,144878,150865,103240
154001,161081,146792,116659,141000,144895,141866,94555,139393,142666,152160,144812,150874,101206
153987,161089,146786,115037,140988,145044,141870,93041,141565,142353,152138,144901,150891,99135
153976,161104,146781,113395,140965,145141,141846,91531,143525,142071,152114,144698,150903,97099
153987,161101,146812,111754,140982,145338,141846,90012,145484,141732,152120,144690,150914,95090
